Country,Low Income,Very High Income
Belgium,8.5,3.2
Bulgaria,9,16.2
Czechia,5.5,5.1
Denmark,3.9,2.8
Germany,12.5,4.7
Estonia,5.5,4.1
Ireland,6.6,0.3
Greece,15.2,9
Spain,6.7,3.6
France,6,2.7
Croatia,13.6,9.1
Italy,5.7,3.8
Cyprus,11,5.8
Latvia,8.2,5.7
Lithuania,4.2,3.7
Luxembourg,6.3,1.8
Hungary,11.2,3.6
Malta,10.2,4.6
Netherlands,5.1,1.1
Austria,10.4,5.3
Poland,12.3,6.7
Portugal,3.1,3.4
Romania,4.2,6.7
Slovenia,6.7,4.8
Slovakia,5.8,5.2
Finland,3.6,2.5
Sweden,2.8,0.5
Iceland,1.2,1.8
Norway,2.7,1.1
Serbia,18.1,14.5
Turkey,13.9,14.4
