Country,Portions (more than 5),Activity (0 minutes)
Austria,5.6,32.1
Belgium,15.1,47.3
Bulgaria,5,80.9
Croatia,9.8,63.1
Cyprus,7.9,64.5
Czechia,7.7,51.9
Denmark,22.9,17.5
Estonia,13.3,48.1
Finland,13.5,
France,19.5,48.8
Germany,10.9,27.5
Greece,12.4,67.8
Hungary,8.2,40.6
Iceland,9.1,27.1
Ireland,32.9,48.9
Italy,10.5,63.8
Latvia,7.2,53.4
Lithuania,15.9,59.1
Luxembourg,13.6,33.4
Malta,11.6,71.6
Netherlands,29.5,23.4
Norway,8.6,14.1
Poland,8.6,56.1
Portugal,14.4,65.6
Romania,2.4,84.0
Serbia,8.1,68.8
Slovakia,8.5,48.1
Slovenia,5.3,48.2
Spain,10.9,48.3
Sweden,7.6,23.8
Turkey,2.8,87.7
