id,Country,Portions (1 to 4),Activity (150 to 299 minutes),Meat Consumption,CRC Incidents
3,Austria,58.7,19.2,87,220.52
5,Belgium,67.5,14.7,55,364.92
7,Bulgaria,47.8,5.5,60,289.94
8,Croatia,61.7,8.9,80,387.57
44,Cyprus,58.8,13.7,77,259.86
9,Czechia,44.1,12.6,84,
10,Denmark,38.5,24.0,79,425.67
11,Estonia,47.3,11.5,69,305.4
12,Finland,49.0,,78,267.13
13,France,55.3,13.9,79,317.07
14,Germany,55.9,20.15,79,264.93
15,Greece,54.5,11.1,73,282.94
16,Hungary,55.5,14.5,84,490.07
17,Iceland,56.7,22.5,91,300.56
18,Ireland,48.1,15.3,78,362.36
19,Italy,65.7,9.5,82,310.49
20,Latvia,38.9,10.7,71,406.16
22,Lithuania,43.1,10.9,84,301.64
23,Luxembourg,38.3,21.5,82,275.23
25,Malta,52.1,6.2,78,267.83
29,Netherlands,28.7,17.5,69,
30,Norway,62.2,25.2,68,427.91
31,Poland,53.9,10.1,88,326.42
32,Portugal,58.2,9.1,95,422.37
33,Romania,24.0,4.3,65,331.25
35,Serbia,47.3,6.9,56,360.11
36,Slovakia,50.2,14.5,57,471.89
37,Slovenia,62.8,13.9,70,418.86
38,Spain,65.7,14.2,99,377.18
39,Sweden,54.6,23.8,73,287.37
45,Turkey,59.7,2.6,39,219.4
42,United Kingdom,,,77,351.39
